category,title,url,path,nav,summary
Mortgages,Tracker Mortgages,https://guidefs.co.uk/tracker-mortgages,/tracker-mortgages,Yes,"Explains tracker mortgages linked to an index such as Bank of England base rate, lender margin, possible minimum rate/floor and typical tracker periods."
Mortgages,Cashback Mortgages,https://guidefs.co.uk/cashback-mortgages,/cashback-mortgages,Yes,"Explains cashback incentives, common uses for cashback, lender conditions and possible repayment of cashback on early redemption."
Mortgages,Offset Mortgages,https://guidefs.co.uk/offset-mortgages,/offset-mortgages,Yes,"Explains offsetting savings/current-account balances against mortgage debt to reduce charged interest, shorten term or lower payments."
Mortgages,Bad Credit Mortgages,https://guidefs.co.uk/bad-credit-mortgages-direct,/bad-credit-mortgages-direct,Yes,"Explains mortgage options for applicants with adverse credit, application considerations, steps that may improve eligibility, pricing/deposit implications and common causes of bad credit."
More Mortgage Options,First Time Buyer,https://guidefs.co.uk/1st-time-buyer,/1st-time-buyer,Yes,"First-time-buyer guide covering lender assessment, property and employment factors, affordability/expenditure, financial commitments and the chain-free advantage."
More Mortgage Options,Holiday Let Mortgages,https://guidefs.co.uk/holiday-let-mortgages-direct,/holiday-let-mortgages-direct,Yes,"Explains holiday-let mortgages, seasonal rental-income assessment, interest-only/capital repayment options and potentially stricter lender criteria."
More Mortgage Options,Limited Company Lending,https://guidefs.co.uk/limited-company-lending-direct,/limited-company-lending-direct,Yes,"Explains limited-company/SPV mortgage lending for landlords, including purchases, remortgages, company transfers, higher-risk properties and some expat cases."
More Mortgage Options,Let-To-Buy Mortgages,https://guidefs.co.uk/let-to-buy-mortgages-direct,/let-to-buy-mortgages-direct,Yes,"Explains refinancing an existing home onto a rental basis while arranging a new residential mortgage, plus common reasons clients use let-to-buy."
More Mortgage Options,Self Employed Mortgages,https://guidefs.co.uk/self-employed-mortgages-direct,/self-employed-mortgages-direct,Yes,Explains common mortgage challenges for self-employed applicants such as short trading history or variable profits and Guide's adviser-led lender-matching approach.
More Mortgage Options,Second Properties,https://guidefs.co.uk/second-properties-direct,/second-properties-direct,Yes,"Explains mortgages for purchasing a second property, common reasons for doing so, increased affordability scrutiny and potential deposit differences."
More Mortgage Options,High-Value Mortgages,https://guidefs.co.uk/high-value-mortgages-direct,/high-value-mortgages-direct,Yes,"High-value mortgage page aimed at premium property and £1m+ lending, discussing specialist underwriting, LTV constraints and broader asset/income considerations."
More Mortgage Options,Retirement Interest Only Mortgages,https://guidefs.co.uk/retirement-interest-only-mortgages-direct,/retirement-interest-only-mortgages-direct,Yes,"Explains RIO mortgages as interest-only borrowing without a fixed end date, generally repaid on death or move into care, and contrasts them with equity release."
More Mortgage Options,Self Build Mortgages,https://guidefs.co.uk/self-build-mortgages,/self-build-mortgages,Yes,"Explains specialist self-build lending, project plans, build-cost forecasts, planning/building-regulation requirements, inspections and staged funding considerations."
More Mortgage Options,Second Charge Mortgages,https://guidefs.co.uk/second-charge-mortgages,/second-charge-mortgages,Yes,"Explains second-charge lending secured behind a first mortgage, use of property equity, affordability and the order in which secured lenders are repaid."
Protection,Why Protection is Important,https://guidefs.co.uk/why-protection-is-important,/why-protection-is-important,Yes,Introduces the financial impact of death or serious illness on households and the role of protection in helping preserve housing and family lifestyle.
Protection,Life Assurance,https://guidefs.co.uk/life-assurance,/life-assurance,Yes,"Explains life cover, terminal-illness features on some plans, term versus whole-of-life cover, level/decreasing cover and premium structures."
Protection,Family Income Benefit,https://guidefs.co.uk/family-income-benefit,/family-income-benefit,Yes,"Explains family income benefit as regular payments for the remaining policy term after a valid death claim, with a policy-lapse warning."
Protection,Income Protection,https://guidefs.co.uk/income-protection,/income-protection,Yes,"Explains personal income protection for illness/injury, replacement of part of net income, term/age limits and guaranteed versus reviewable premiums."
Protection,Private Medical Insurance,https://guidefs.co.uk/private-medical,/private-medical,Yes,"Explains private medical insurance, private/NHS-related treatment access, medical underwriting and reviewable annual premiums."
Protection,Critical Illness,https://guidefs.co.uk/critical-illness,/critical-illness,Yes,"Explains defined critical-illness cover, common insured conditions, term choices, lump-sum/income options and policy-definition limitations."
Protection,Landlord Insurance,https://guidefs.co.uk/landlord-insurance-direct,/landlord-insurance-direct,Yes,"Explains landlord insurance with building, contents and liability cover, plus portfolio-cover considerations."
Protection,Military Personnel,https://guidefs.co.uk/military-personnel-direct,/military-personnel-direct,Yes,"Insurance page for armed-forces personnel covering specialist considerations and examples such as kit, travel and life insurance."
Business Protection,Introduction to Business Protection,https://guidefs.co.uk/introduction-to-business-insurance,/introduction-to-business-insurance,Yes,"Introduces protecting a business against the loss or impairment of key people, staff and shareholders."
Business Protection,Directors' & Staff Benefits,https://guidefs.co.uk/directors-and-staff-benefits,/directors-and-staff-benefits,Yes,"Discusses employee/director reward and benefit structures such as pensions, life insurance, bonuses and other benefits as recruitment/retention tools."
Business Protection,Income Protection,https://guidefs.co.uk/income-protection-insurance,/income-protection-insurance,Yes,"Business/group income-protection page covering employer sickness schemes, long-term versus short-term income protection and replacement-income considerations."
Business Protection,Share Protection,https://guidefs.co.uk/share-protection,/share-protection,Yes,Explains life-assurance-backed share protection to help remaining directors/partners fund a purchase of a deceased shareholder's interest.
Business Protection,Key Person,https://guidefs.co.uk/keyperson-insurance,/keyperson-insurance,Yes,"Explains insurance for key employees/directors and potential uses such as temporary replacement, recruitment and mitigating loss following death or incapacity."
Business Protection,Relevant Life Cover,https://guidefs.co.uk/relevant-life-cover,/relevant-life-cover,Yes,"Explains employer-funded relevant life cover for eligible employees, employer/employee relationship requirements, trusts and portability considerations."
Business Protection,Employers' Liability,https://guidefs.co.uk/employers-liability-insurance,/employers-liability-insurance,Yes,Explains employers' liability cover and the employer's responsibility for employee injury or disease arising from employment.
Business Protection,Professional Indemnity,https://guidefs.co.uk/professional-indemnity-insurance,/professional-indemnity-insurance,Yes,"Explains professional indemnity cover for businesses providing advice, knowledge or professional services and potential negligence claims."
Specialist Lending & Property Finance,Introduction to Specialist Lending & Property Finance,https://guidefs.co.uk/gfs-lending-and-property-finance,/gfs-lending-and-property-finance,Yes,"Hub page for specialist property finance aimed at investors, landlords and developers. Lists BTL, bridging, development, commercial/semi-commercial and portfolio finance."
Specialist Lending & Property Finance,Bridging Loans,https://guidefs.co.uk/gfs-bridging-loans,/gfs-bridging-loans,Yes,"Short-term secured finance for auctions, refurbishments, development or fast transactions, with benefits, use cases and target client types."
Specialist Lending & Property Finance,Development Finance,https://guidefs.co.uk/gfs-development-finance,/gfs-development-finance,Yes,"Short/medium-term development funding for new builds, refurbishments, conversions, land purchase and construction costs."
Specialist Lending & Property Finance,Commercial & Semi Commercial Mortgages,https://guidefs.co.uk/gfs-commercial-and-semi-commercial-mortgages,/gfs-commercial-and-semi-commercial-mortgages,Yes,"Commercial finance for owner-occupied and investment properties, including offices, retail, industrial and mixed-use/semi-commercial property."
Specialist Lending & Property Finance,Portfolio Landlord Finance,https://guidefs.co.uk/gfs-portfolio-landlord-finance,/gfs-portfolio-landlord-finance,Yes,"Portfolio finance for landlords with multiple properties, including consolidation, borrowing-capacity considerations and portfolio expansion."
Specialist Lending & Property Finance,Auction Finance,https://guidefs.co.uk/gfs-auction-finance,/gfs-auction-finance,Yes,"Short-term finance designed around auction completion deadlines for residential, commercial, BTL and refurbishment/development purchases."
Specialist Lending & Property Finance,House in Multiple Occupation (HMO) Finance,https://guidefs.co.uk/gfs-house-in-multiple-occupation-finance,/gfs-house-in-multiple-occupation-finance,Yes,"Specialist HMO funding for purchases, conversions/refurbishments, portfolio expansion and refinancing, with licensing/safety compliance context."
Specialist Lending & Property Finance,Second Charge & Debt Consolidation,https://guidefs.co.uk/gfs-second-charge-and-debt-consolidation,/gfs-second-charge-and-debt-consolidation,Yes,"Explains second-charge secured lending using property equity without replacing the first mortgage, including home improvements, investment and debt consolidation uses."
Wills & Estate Planning,Wills Writing Services,https://guidefs.co.uk/gfs-wills-writing,/gfs-wills-writing,Yes,"Single-page wills section covering Standard Wills, Mirror Wills, Trust Wills, Will Updates & Reviews, reasons to choose the service, a four-stage process and basic FAQs."
Calculators,Mortgage Borrow,https://guidefs.co.uk/gfs-mortgage-borrow,/gfs-mortgage-borrow,Yes,"Calculator page embedding an external WEBPRO Central mortgage-borrow iframe, followed by the standard callback and footer."
Calculators,Mortgage Repayment,https://guidefs.co.uk/gfs-mortgage-repayment,/gfs-mortgage-repayment,Yes,"Calculator page embedding an external WEBPRO Central mortgage-repayment iframe, followed by the standard callback and footer."
Calculators,How much can I borrow,https://guidefs.co.uk/gfs-how-much-can-i-borrow,/gfs-how-much-can-i-borrow,Yes,"Calculator page embedding an external WEBPRO Central borrowing iframe, followed by the standard callback and footer."
Calculators,Overpayment,https://guidefs.co.uk/gfs-overpayment,/gfs-overpayment,Yes,"Calculator page embedding an external WEBPRO Central mortgage-overpayment iframe, followed by the standard callback and footer."
Calculators,Stamp Duty,https://guidefs.co.uk/gfs-stamp-duty,/gfs-stamp-duty,Yes,Stamp Duty Land Tax calculator page with a UK Government-rate disclaimer and an external WEBPRO Central iframe.
Contact,Contact Us,https://guidefs.co.uk/contact,/contact,Yes,"Contact page showing the main telephone number, Brentford/London contact address and email, plus London, Manchester, Leicester and Leeds office details."
